,Country Name,Continent,Country Code,years,Population,CO2,GDP/cap,AE,CO2_abs,CO2_abs_new
62,American Samoa,Oceania,ASM,2019,55312,,11715.36014,,,0
63,Antigua and Barbuda,Americas,ATG,1990,62533,3.358226856,7347.646369,95.76304626,210,0.021
64,Antigua and Barbuda,Americas,ATG,1995,68672,3.931733458,8406.358945,96.64379883,270,0.027
65,Antigua and Barbuda,Americas,ATG,2000,76007,4.341705369,10872.29295,97.68926239,330,0.033
66,Antigua and Barbuda,Americas,ATG,2005,81462,5.033021488,12557.54785,92.19999695,409.9999964,0.041
67,Antigua and Barbuda,Americas,ATG,2010,88030,5.56628433,13048.96058,98.59723663,490.0000095,0.049000001
68,Antigua and Barbuda,Americas,ATG,2015,93571,5.236665308,14285.32978,100,490.0000095,0.049000001
69,Antigua and Barbuda,Americas,ATG,2019,97115,5.354476455,17376.64968,100,519.9999809,0.051999998
70,Australia,Oceania,AUS,1990,17065100,15.44848844,18243.47142,100,263630,26.363
71,Australia,Oceania,AUS,1995,18072000,16.05688358,20358.33336,100,290180,29.018
72,Australia,Oceania,AUS,2000,19153000,17.7230721,21697.70848,100,339450,33.945
73,Australia,Oceania,AUS,2005,20394800,18.14629201,34080.9999,100,370089.9963,37.00899963
74,Australia,Oceania,AUS,2010,22031750,17.59006927,52087.97229,100,387540.0085,38.75400085
75,Australia,Oceania,AUS,2015,23815995,15.863288,56707.02208,100,377799.9878,37.77999878
76,Australia,Oceania,AUS,2019,25365745,15.23826715,54875.28596,100,386529.9988,38.65299988
77,Austria,Europe,AUT,1990,7677850,7.58936421,21680.98962,100,58270,5.827
78,Austria,Europe,AUT,1995,7948278,7.697264741,30325.84958,100,61180,6.118
79,Austria,Europe,AUT,2000,8011566,7.929785513,24625.60072,100,63530,6.353
80,Austria,Europe,AUT,2005,8227829,9.26611356,38417.45779,100,76239.99786,7.623999786
81,Austria,Europe,AUT,2010,8363404,8.365014901,46903.76159,100,69959.99908,6.995999908
82,Austria,Europe,AUT,2015,8642699,7.317158873,44195.81759,100,63240.00168,6.324000168
83,Austria,Europe,AUT,2019,8879920,7.293984252,50114.40111,100,64769.99664,6.476999664
